"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.00236357133835555,0.717626373283565,0,5,22.5617659604177,4.26608522539027,0.788828786,14,40,40,3,5,27.7111104968935,38.1081262493972,1000,0.0437620977684856,1,-3168.48665323635
11,-0.00236357133835555,0.717626373283565,0,5,22.5617659604177,4.26608522539027,0.788828786,14,40,40,3,5,27.7111104968935,38.1081262493972,1000,0.0437620977684856,1,-3168.48665323635
21,-0.00236357133835555,0.717626373283565,0,5,22.5617659604177,4.26608522539027,0.788828786,14,40,40,3,5,27.7111104968935,38.1081262493972,1000,0.0437620977684856,1,-3168.48665323635
31,-0.00236357133835555,0.717626373283565,0,5,22.5617659604177,4.26608522539027,0.788828786,14,40,40,3,5,27.7111104968935,38.1081262493972,1000,0.0437620977684856,1,-3168.48665323635
41,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
51,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
61,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
71,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
81,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
91,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
101,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
111,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
121,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
131,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
141,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
151,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
161,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
171,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
181,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
191,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
201,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
211,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
221,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
231,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
241,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
251,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
261,0.291478836007888,0.806764160254496,0,5,22.5072944139335,5.64690833281331,0.788828786,14,40,40,3,5,27.5808417609038,38.3810581933661,1000,0.17461129257916,1,-3123.16776021152
271,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
281,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
291,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
301,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
311,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
321,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
331,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
341,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
351,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
361,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
371,0.328315127911056,0.203112587457889,0,5,21.9124260390849,5.95069863596348,0.788828786,14,40,40,3,5,26.7191780368143,39.2735970808188,1000,0.0375291889806232,1,-3116.29575098847
